Pays,Taux_de_chomage_2023,Opportunité_emploi
Afrique subsaharienne,5.88775361694401,Correct
Afrique subsaharienne (hors revenu élevé),5.88775361694401,Correct
Zambie,5.905,Correct
Sri Lanka,5.997,Correct
Union européenne,6.02944529696582,Tension sur l’emploi
Honduras,6.07,Tension sur l’emploi
Croatie,6.086,Tension sur l’emploi
Chypre,6.098,Tension sur l’emploi
Amérique latine et Caraïbes (hors revenu élevé),6.11953093081959,Tension sur l’emploi
Argentine,6.139,Tension sur l’emploi
Îles Anglo-Normandes,6.187,Tension sur l’emploi
Amérique latine et Caraïbes,6.20743027327999,Tension sur l’emploi
Amérique latine et Caraïbes (BIRD et IDA),6.27705803055615,Tension sur l’emploi
Estonie,6.378,Tension sur l’emploi
Lettonie,6.465,Tension sur l’emploi
Gambie,6.479,Tension sur l’emploi
Portugal,6.509,Tension sur l’emploi
Panama,6.544,Tension sur l’emploi
Zone euro,6.5646094180748,Tension sur l’emploi
Lituanie,6.841,Tension sur l’emploi
Finlande,7.151,Tension sur l’emploi
Petits états,7.24829729410406,Tension sur l’emploi
Europe et Asie centrale (hors revenu élevé),7.33376867158914,Tension sur l’emploi
"Égypte, République arabe d’",7.334,Tension sur l’emploi
France,7.335,Tension sur l’emploi
Autres petits états,7.41013147956157,Tension sur l’emploi
Suède,7.611,Tension sur l’emploi
Italie,7.627,Tension sur l’emploi
Suriname,7.631,Tension sur l’emploi
Barbade,7.878,Tension sur l’emploi
Brésil,7.947,Tension sur l’emploi
Belize,8.267,Tension sur l’emploi
Serbie,8.268,Tension sur l’emploi
Costa Rica,8.325,Tension sur l’emploi
Uruguay,8.355,Tension sur l’emploi
Guinée équatoriale,8.367,Tension sur l’emploi
Bahamas,8.643,Tension sur l’emploi
Zimbabwe,8.759,Tension sur l’emploi
Chili,9.013,Tension sur l’emploi
"Iran, République islamique d’",9.041,Tension sur l’emploi
Maroc,9.044,Tension sur l’emploi
Sao Tomé-et-Principe,9.071,Tension sur l’emploi
Afrique du Nord et Moyen-Orient,9.12057231205856,Tension sur l’emploi
Turquie,9.388,Tension sur l’emploi
Le monde arabe,9.59035028813167,Tension sur l’emploi
Colombie,9.594,Tension sur l’emploi
Petits états des Caraïbes,9.68042872002248,Tension sur l’emploi
Albanie,10.108,Tension sur l’emploi
Mauritanie,10.446,Tension sur l’emploi
Népal,10.628,Tension sur l’emploi
Bosnie-Herzégovine,10.668,Tension sur l’emploi
Afrique du Nord et Moyen-Orient (hors revenu élevé),10.8670875152924,Tension sur l’emploi
Afrique du Nord et Moyen-Orient (BIRD et IDA),10.8670875152924,Tension sur l’emploi
Nouvelle-Calédonie,10.939,Tension sur l’emploi
Grèce,11.066,Tension sur l’emploi
Sainte-Lucie,11.092,Tension sur l’emploi
Géorgie,11.537,Tension sur l’emploi
Liban,11.543,Tension sur l’emploi
Tadjikistan,11.546,Tension sur l’emploi
Algérie,11.701,Tension sur l’emploi
Polynésie française,11.749,Tension sur l’emploi
Cabo Verde,11.971,Tension sur l’emploi
Guyana,12.025,Tension sur l’emploi
Espagne,12.179,Tension sur l’emploi
Îles Vierges (EU),12.32,Tension sur l’emploi
Rwanda,12.352,Tension sur l’emploi
Soudan du Sud,12.477,Tension sur l’emploi
Macédoine du Nord,13.174,Tension sur l’emploi
République arabe syrienne,13.187,Tension sur l’emploi
Arménie,13.245,Tension sur l’emploi
Afghanistan,13.991,Tension sur l’emploi
Angola,14.537,Tension sur l’emploi
Haïti,14.556,Tension sur l’emploi
Monténégro,14.621,Tension sur l’emploi
Tunisie,15.106,Tension sur l’emploi
Iraq,15.447,Tension sur l’emploi
Lesotho,16.457,Tension sur l’emploi
"Yémen, Rép. du",17.091,Tension sur l’emploi
Jordanie,17.969,Tension sur l’emploi
Saint-Vincent-et-les Grenadines,18.574,Tension sur l’emploi
Libye,18.753,Tension sur l’emploi
Somalie,18.941,Tension sur l’emploi
Namibie,19.365,Tension sur l’emploi
"Congo, République du",19.898,Tension sur l’emploi
Gabon,20.278,Tension sur l’emploi
Botswana,23.381,Tension sur l’emploi
Djibouti,26.154,Tension sur l’emploi
Afrique du Sud,32.098,Tension sur l’emploi
Eswatini,35.086,Tension sur l’emploi
