Pays,Taux_emplois_vulnerables_2023
Pays pauvres très endettés (PPTE),77.5499480656112
Libéria,77.6084326419495
Guinée-Bissau,77.8037330585519
Faible revenu,78.5057656061033
Guinée équatoriale,78.5931848021744
Népal,78.6737062405629
Guinée,79.1961930328782
Afghanistan,80.2937668307739
Togo,80.5529108184188
"Congo, République démocratique du",82.6197523755778
Mozambique,82.7750504434625
Burundi,83.5511246747837
Tanzanie,83.8780778486777
Niger,84.4949819679942
Madagascar,84.7387977846784
Éthiopie,84.9606232428422
Mali,85.1637947181339
"Corée, République démocratique de",85.4664985857628
Bénin,86.7062130799163
Sierra Leone,86.8822062631621
Tchad,89.956063750051
République centrafricaine,93.323929796479
